text,label
we have several openings available in this area earning 100000250000 per weekâ we are seeking only honest selfmotivated people with a desire to work in the home typing and data entry field from the comfort of their own homesthe preferred applicants should be at least 18 years old with internet access no experience is needed however the following skills are desirable â,1
job descriptionadministrative assistantdescriptionan insurance consulting practice is currently seeking a skilled administrative assistant to join its teamthe administrative assistant will provide administrative and clerical support to the insurance compliance department success in this role will depend upon the ability to manage multiple tasks meet deadlines and provide outstanding administrative and customer service supportjob responsibilities includeheavy data entryscanning and imaging of documentsother duties as assigned by department managerqualificationsbusiness communication skills both written and verbaladvanced level pc skills using microsoft office word excel access powerpoint and outlooksuperior customer service skillsmust be willing to work holidays and weekends as neededindividual must be self motivated with excellent time management attendance organizational and multitasking abilities,1
play with kids get paid for itâ love travel jobs in asia1500 usd monthly 200 cost of livinghousing provided privatefurnishedairfare reimbursedexcellent for student loanscredit cardsgabriel adkins  url_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7url_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b12 month contract  apply todayâ,0
we are seeking a full time payroll clerk to manage day to day accounting for our operationpay scale  25hrâ maintains financial controls including shrink payroll and other operating expenses rebates â maintaining proper inventory controls facilitate inventory transactions and maintain compliance standards for shrink controlâ monitor sales activities to ensure that customers receive satisfactory service,1
optometric practice is seeking a fulltime optical  sales for our colorado springs colorado locationâ to apply for this position please submit your application via this linkâ url_dc6a4e8df8c88cf7bb611c27fadf835b2ea6d40cec837463b39bb6ba9bca8852imtkzâ and select the optical  sales colorado springs colorado position from the job opening dropdown menufor more information about our company please visit our web site atâ  we are an equal opportunity employer,1
the customer service associate will be based in phoenix az the right candidate will be an integral part of our talented team supporting our continued growthresponsibilitiesperform various mail center activities sorting metering folding inserting delivery pickup etcperform hospitality duties when neededlift heavy boxes files or paper when neededmaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudedemonstrate flexibility in satisfying customer demands in a high volume production environmentconsistently adhere to business procedure guidelinesadhere to all safety procedurestake direction from supervisor or site managermaintain all logs and reporting documentation attention to detailparticipate in crosstraining and perform other duties as assigned filing outgoing shipments etcoperating mailing copy or scanning equipmentshipping amp receivinghandle timesensitive material like confidential urgent packagesperform other tasks as assignedscanning incoming mail to recipientsperform file purges and pullscreate files and ship filesprovide backfill when neededenter information daily into spreadsheetsidentify charges and match them to billingsort and deliver mail small packages,0
every day millions of developers project managers and qa engineers are using rhodecode enterpriseâ which plays a central role in their professional life to get their job doneif you want toâ have a real impact help ourâ international teamâ to accomplish its ambitious goals and you are willing to go the extra mile then the following job may be something for youthe positiondo you enjoy working on new and gamechanging technology that is accompanied by great user experiences are you passionate about delivering products that exceed customer expectations in challenging enterprise environments rhodecode is looking for a highly motivated individual to help manage our enterprise software offerings which today are being used in development departments of fortune 500 financial institutions and the defense sectoras assistant technical product manager your are capable of applying technical creative and analytical thinking to the technology definition of development process directly reporting to the head of productâ management who will relocate to boston us in january 2015 for business reasons you need to be willing to join our berlin office team for 23 weeks before the move and then move to boston as wellâ together with the head of product management you will define the product strategy and roadmap for our current and future product areaswhat you will doresearch and understand market dynamics of competing technology solutionsdefine and drive key differentiators in the enterprise market for source code managementassist and document the requirements elicitation process by working with internal and external stakeholderscontribute valuable insight on the holistic company product landscape and assist in synchronizing with other product roadmaps and plansengage closely with research and engineering on best technical implementation methods as well as reasonable execution schedulesprovide technical product expertise for the rhodecode sales organization and collaborate with product marketing on future core product featureswrite or oversee the writing of use cases functional specifications and test plans for specific feature requirements,0
corporate overviewaker solutions is a global provider of products systems and services to the oil and gas industry our engineering design and technology bring discoveries into production and maximize recovery from each petroleum field we employ approximately 28000 people in about 30 countries go to url_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae for more information on our business people and valuesresponsibilities and tasks manage execution of surf subsea umbilical riser flowline front end engineering scopes including staffing and competence development participate in defining strategies and business development to develop new client basis  ensure that all subsea system solutions in support of new business opportunities meets the specified functional design criteria and all technical and regulatory requirements  responsible for hse within own area of responsibility ensure that all aspects of hse are top priority in day to day business and all designs delivered satisfies hse requirements and are in accordance with aker solutions hse policy  identify and execute surf front end engineering work including opportunity appraisal feasibility concept screening and selection studies concept definition as a precursor to prefeed and feed  establish implement measure the performance of and continuously improve work processes so that resources are used efficiently ensuring predictable performance meeting all internal and external clientsâ quality cost and schedule requirements be actively involved in business development activities to develop new client base preparation of proposals and liaison with global offices on current and potential projects  evaluate and assess new and emerging surf particularly subsea technologies which may include managing and participating in rampd initiatives jipâs and other technology ventures develop working relationships with clientâs management and technical staff to develop solutions that will solve specific problems in meeting clientâs current and future needs  coordinate and collaborate with subject matter experts within aker solutions in providing solutions establishing and carrying out scope of works related to subsea concepts  understands project execution and can play a key role in project kickoff as per aker solutionâs project execution model pem assist in identifying project risksamp opportunities uncertainties and contribute to identification of mitigation strategies,1
director of strategy  san mateo caâ interested in a company that has doubled annually for the last three years benchmarking in the top percentile of saas companies that have ultimately gone public deeply capitalized â backed by investors such as battery ventures and intel capitalâ descriptionthis role is responsible for building and leading the newly formed corporate strategy function â it will report to a senior executive and will be responsible for identifying and answering a host of strategic questions including growth international expansion acquisitions and functional issues â â it will be an extremely visible role in the company and work across the entire organization â this role will also be responsible for recruiting additional talent into the function developing operational processes and designing the talent managementcareer path for staff â â due to the rapid growth of the company this role will have opportunity to transition to into functional  line management over time if interested â â responsibilitiesevaluation of industry trends to develop implications and recommend strategiesdevelopment of strategic recommendationsevaluation of new business opportunitiesnew market analysis and entry strategiescreation of new initiatives drawing on an integrated offering across multiple business unitsevaluation of new technologiesâ,1
play with kids get paid for itâ love travel jobs in asia1500 usd monthly 200 cost of livinghousing provided privatefurnishedairfare reimbursedexcellent for student loanscredit cardsgabriel adkins  url_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7url_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b12 month contract  apply todayâ,0
we provide no credit check financing to customers of small and medium size businesses and can help 90 of the industries from auto mechanics to dentists and lawyerswe are seeking skilled account managers to grow with us and help us achieve our goals in this new and exciting industrythis is designed as a longterm position for an entrepreneurial individual to really build their book of business along with their incomeour people enjoy a flexible work environment high earnings with great incentives like corporate retreats and quick advancement opportunities,1
job description we are looking for customer assistants who will work in our company they should have at least 2 months experience in the post it also provides training 2 weeks with paid wages now we have the opportunity to obtain contracts all who wish to please send your cv to our email email_fefd5a4270dfb95f87b69aba0b256c80756e3fabb89ee777948ba9d6f6fc84df you will contact one of our managers,1
â the customer service associate will be based in stamford ct the right candidate will be an integral part of our talented team supporting our continued growthresponsibilitiesperform various mail center activities sorting metering folding inserting delivery pickup etclift heavy boxes files or paper when neededmaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudedemonstrate flexibility in satisfying customer demands in a high volume production environmentconsistently adhere to business procedure guidelinesadhere to all safety procedurestake direction from supervisor or site managermaintain all logs and reporting documentation attention to detailparticipate in crosstraining and perform other duties as assigned filing outgoing shipments etcoperating mailing copy or scanning equipmentshipping amp receivinghandle timesensitive material like confidential urgent packagesperform other tasks as assignedscanning incoming mail to recipientsperform file purges and pullscreate files and ship filesprovide backfill when neededenter information daily into spreadsheetsidentify charges and match them to billingsort and deliver mail small packagesability to work overtime,0
the senior systems engineer is highly experienced in architecting developing and monitoring application systems they will work on projects alone and in team environments to aid in the support of well aware internal and external products,0
gpc works is the umbrella organisation for two exciting startups globally the startups are developing cutting edge products in the ecommerce and data analytics space we are looking for a mid to senior level php developer with experience in ecommerce to join our new office in athens opening january 2015 the work will revolve around ecommerce solutions initially for the magento platform however will expand into other challenging areas as required by our affiliated companies in hong kong amp london,0
about bluebridgebluebridge is a leading software as a service saas companyâ that provides mobile tools to help organizations engage and communicate with their audience and communitiesâ we work with organizations to help them connect their content with peoples pockets through compelling fullfeatured mobile apps as well as a suite of services including mobile strategy push notifications mobile analytics unlimited training and support and more we serve as the mobile engagement tool for the organizations we serve we love helping our customers create awesome polished apps so they can better communicateweâre recruiting our foundation marketing team to help us grow more quickly and take advantage of a massive market opportunity bluebridge is based in fishers in where we have a rapidly growing team of 25  weve tripled in size the last 18 months with awards from techpoint mira awards 2013 winner 2014 indiana companies to watch and several others to press from the washington post associated press and others bluebridge is a dynamic and fastgrowing company with big plans and an even bigger market opportunityâ the rolebluebridge is looking for a resultsdriven and strategic marketing director your primary responsibility will be to develop differentiate and create market demand for bluebridge mobile solutions your effectiveness will be evaluated by your results the ability to deliver marketing qualified leads and marketingsourcedinfluenced revenueyou are an executivelevel thinker and have great linelevel execution you will help us build our campaigns strategies and marketing programs the oldstyle marketer was someone who was very creative but not necessarily a processdriven or datacentric person you are the new breed of marketer you are datadriven and your strengths in creativity come from developing and optimizing programs that get heard by the customer amidst the noisein the early days youâll be willing and able to roll up your sleeves and get resultsyour prefered work tasksyou love organizing resources including people to achieve lofty goalsyou compulsively communicate a vision for the futureyou canât help but prepare a systematic plan to achieve the visionyou get your thrills solving systemlevel problemsyou make the quick tough decisions needed to move forward effectivelypreferred work environmentfast growing with continual new challengeshas people who drive hard to meet goalsoffers organized and efficient tasks resources and peoplehas people who are taskoriented and focused on achieving their goalsfosters competition and rewards achievementthe ideal candidatetalent stewardship able to attract grow and retain talented employees and lead the team to become a high performing highly engaged marketing organizationability to manage complexity and ambiguity you work best with diverse teams and have the ability to coordinate and execute on multiple projects at oncethe ideal candidate will be goal and actionoriented analytical highly organized discerning and strategican undeniable passion for marketing and the impact it can have on the growth of an organization when implemented and tracked effectivelyyou want to market bestofbreed worldclass mobile products with a team of passionate intelligent and committed team membersyou have the ability to develop a deep understanding of the needs of bluebridge buyers and influencers draw valuable insights from a variety of sources and effectively communicate those insights to othersyou have the data and analysis chops to backup your decisions you make datadriven decisions always backing up your campaigns with realworld data,0
experienced reliable team members are needed for our administrative assistant needed we are currently searching for candidates with previous experience andor motivated quick learners these positions require a friendly phone personality great attention to detail and the ability to work quickly and efficiently this is a customer contact position that requires patience a great phone demeanor excellent verbal and written communications and reliable work attendancekey aspects of positionprovide extraordinary service to our customers at all timeswork as part of a customer service teamother duties as assigned,1
join us at valor services for an opportunity to explore a multitude of current job openings youll have an opportunity to interview on the spot with a valor services representativeâ whensaturday november 8 20149 am to 4 pm cstâ wherehilton garden inn houston nw america plazaâ 14919 northwest fwy houston tx 77040jersey village boardroomâ whatâ we will be interviewing for the following open positionsassembly techjr estimatorpipe welderpipe fitterpipe tackerlaborertool room attendantgeneral laborâ this will be an amazing opportunity to get to know valor services and learn more about current openingsâ please bring copies of your resume and dress to impressâ for more details on our open positions please visit url_adc4c035a50f942cd839f377d8b77ed815573eb377228a2684536b7dc138e745â spread the word â share this information with friends and family,0
we are a fullservice marketing and staffing firm serving companies ranging from fortune 100 to new startup organizations we work with job seekers in an equally broad range from light industrial temporary workers to executive level candidatesare you looking for a work from home opportunity where you can earn up to 2500 and more per week our online service representative position would be perfect for you set your own hours  make money every time you decide to work  work remotely from home  get paid weekly  if you have a computer with internet this is for you,1
â founded in 1866 san jose water company is an investor owned water company headquartered in silicon valley and is one of the largest and most technically sophisticated urban water system in the united states â we serve over 1 million people with high quality life sustaining water with an emphasis on exceptional customer serviceâ we are actively seeking a talented motivated and highlyproductive junior engineer  engineering technician to join our dynamic team â we offer a challenging and rewarding work environment along with a competitive salary and an excellent benefit packageâ general descriptionunder general direction from the manager of the pipeline design unit the junior engineer  engineering technician performs office and field engineering and other related work as requiredâ principal duties amp responsibilitiesperform engineering work related to the preparation of plans for pipelines hydrants services pumps tanks and other water system facilitiesâ make effective use of cad and coordinate design of new facilities with existing and proposed utilitiesâ generate detailed engineers cost estimates for construction projectsâ prepare construction bid documents and procure required permitsâ perform engineering calculations research and analysis for projects assignedâ,1
cylance inc seeks a security researcher for its irvine office the position requires a bachelorâs degree in computer science or related subject with at least five years of progressive work experience in computer programmingsecurity or related fieldresponsibilitiessecurity researcher will work on the cylance infinity platform a massively scalable machine learning data processing system generating highly efficient mathematical models to solve data problems with highly accurate results at exceptionally rapid rates job duties will include harvesting data from different databases apis and other sources of information largescale processing of datasets asynchronous networking programming for highly scalable parallel processing distributed systems distributed computing using frameworks such as hadoop management and deployment of cloud based architectures mongodb mysql and other data management systems software engineering python java net reverse engineering and analyzing malware vulnerability analysis and exploitation strong team player skills with the ability to work well and play multiple roles within a diverse crossfunctional teamnote this notice is provided in compliance with 20 cfr 65610d any person may provide documentary evidence bearing on this application to the certifying officer of the us department of labor atlanta national processing center harris tower 233 peachtree street suite 410 atlanta georgia 30303first posted 7212014posting to close 8212014,0
responsible for all food production including that used for restaurants banquet functions and other outlets develop menus food purchase specifications and recipes supervise staff develop and monitorfood and labor budget for the department maintain highest professional food quality and sanitation standardsâ duties amp responsibilitiesâ â  plans menus for all food outlets in the hotelâ â  schedules and coordinates the work of chefs cooks and other kitchen employees to assure that food preparationis economical and technically correct and within budgeted labor cost goalsâ â  approves the requisition of products and other necessary food suppliesâ â  ensures that high standards of sanitation cleanliness and safety aremaintained throughout all kitchen areas at all timesâ â  establishes controls to minimize food and supply waste and theftâ â  safeguards all food preparation employees by implementing training to increase their knowledge about safety sanitation and accident preventionprinciplesâ â  develops standard recipes and techniques for food preparation and presentation which help to assure consistently high quality and to minimize food costs exercises portion control for all items served and assists in establishing menu selling pricesâ â  prepares necessary data for applicable parts of the budget projects annual food labor and other costs and monitors actual financial results takes corrective action as necessary to help assure that financial goals are metâ â  attends food and beverage staff and management meetingsâ â  consults with the food amp beverage director about food production aspects of special events being plannedâ â  cooks or directly supervises the cooking of items that require skillfulpreparationâ â  ensures proper staffing for maximum productivity and high standards of quality controls food and payroll costs to achieve maximum profitabilityâ â  evaluates food products to assure that quality standards are consistently attainedâ â  interacts with food and beverage ma nagement to assure that food production consistently exceeds the expectations of members and guestsâ â  in conjunction with fampb management team assist in maintaining a high level of service principles in accordance with established standardsâ,1
my client is a fastgrowing wellfunded startup bringing innovation to their niche in the considered purchase marketplace they are looking for a seasoned analytics professional someone who is excited about the power of data and how it can drive the businessâ this is someone who can build and lead a bestinclass team that will provide advanced analytics reporting and insights to supportâ customer acquisition including visitor conversion product offering customer ltv and company roiâ using your quantiative math skills you and your team will leverage response data web analytics and the companyâs database toâ provide customer segmentation targeting conversion funnel analysis and reporting next product optimization as well as developing dashboardsâ â create testing plans and analysis for next product and promotional offeringsâ â,0
the customer service associate will be based in chicago il the right candidate will be an integral part of our talented team supporting our continued growthessential duties and responsibilitiesperform any and all duties as assigned by management to include reprographics services fax services and messenger servicesmaintain highest levels of customer care while demonstrating a friendly and cooperative attitude at all timesdemonstrate flexibility in satisfying customer demands in a high volume production environmentknow understand and adhere to business procedure guidelines at all timestake direction from supervisor or site manager as requiredparticipate in cross training of responsibilities as appropriatemaintain all logs and reporting documentation as requiredunderstand and adhere to all safety proceduresmust be able to meet production goalsmaintain a clean organized work placeable to adjust working hours due to changing business requirementsable to work at alternate site locations on a temporary or permanent basis due to changing business requirementsother duties may be assigned as determined by the team leadersdm,0
senior engineering product manageras a member of the service provider engineering team you will be responsible for managing the development of broadband dsl products targeted at service providers that provide home gateway voice gateways wireless adapters iptv and voice over ip voip services these products will incorporate one or several of the following technologies dsl routers 80211 wireless vpn firewallsâ â the primary function of an engineering product manager is project management and technical oversight the individual manages the odm to ensure that products are delivered in a timely fashion to a high quality and in accordance with the procedures and systems in addition the individual oversees the activities between the component vendors and the odm within the service provider group another important project management aspect is working with the sales engineers to get products approved at service providers the individual must manage the technical issues that arise during the approval process and ensure a rapid resolution by working with and through the sales engineers odms and component vendorsâ a word from the recruiterâ some of the exciting things that retain engineers here are the new technologies that we integrate into our products most people hear about these technologies 9 months after the product development has launchedâ our engineers actually start learning about the new technologies in advance of any silicon introductionsâ in most cases we are an early partner to silicon vendors and help guide the silicon features this is extremely rare for many of the new membersâ once they do the first project they want more and moreâ as you can imagine the value of that engineer is much greater then when they walked in the doorâ most engineers that i interview have been disappointed by their employers and when asked how much ownership they have of the product they developed the answer is always something like  i only did this this portion of the software or some portion of the chip or some portion of the hardware not much of an empowerment here â here theâ pe is the complete owner of every molecule of the productâ including mechanical operation finance cost etc this empowerment is another added value boost an engineer could benefit fromâ this value is rare and will push the engineer in the direction of someday running a business end to end with a larger responsibility and scopeâ the more of these projects they take the faster they reach that level of career growth and maturityâ this is what not shared on the jdâ how you will mature your careerâ job responsibilitiesâ â for assigned projects take overall responsibility for delivering the product to production including requirements generation hardware firmware documentation regulatory testing and agile release requirements per netgear policies it is expected that projects should be managed with minimal supervisionâ â project management develop and maintain project plans keep all stakeholders informed of product status at all timesâ project execution manage the suppliers odm chip vendor etc product development processâ â product verification manage verification testing of product features and performanceâ â customer certification manage qualification of products with customersâ documentation provide input for manuals help files application notes marketing materials and tech supportâ support resolve any 3 rd level technical support escalationsâ â track industry technology developments supplier roadmaps standards bodies and make product recommendations,1
similarweb is a technologydriven big data internet company our products are based on unique proprietary technology and data and use sophisticated algorithms to analyze every website on the internet we pride ourselves on providing users with comprehensive and beneficial information giving them valuable insights about their competitorâs trafficas a bi developer the ideal candidate will have a very good java background we are looking for someone who is highly passionate about data databases and data analysis we will prefer someone who is eager to learn and keeps his knowledge up to date with new methodologies best practices and technologies the day to day will be working closely with our business analysts developing our bi platform and integrate data for internal and external sources,0
soa testerlocation boston mahire type fte preferredonly us citizengcead â who can join within a weekcth last option â 52hr on c2cstart date asapduration long term,0
tasks may includecontribute to the continued growth and success of expro by working to secure new team members who reflect the values of expro and deliver highquality results to our clientsprocess a high volume of applicants and facilitate a high volume of hires across a wide spectrum of functional roles and geographic locations within north americaproactively source junior mid and seniorlevel technical and business professionals up to and including senior directorlevel candidates using internetbased tools and âœgood oldfashioned interpersonal networking toolsâ including the telephone and the handshakescreen and qualify applicants on a timesensitive basisin conjunction with support staff schedule interviews facilitate the interview evaluation process and help the business teams come to the point of decision on candidatesfacilitate the use and interpretation of various prehire assessment tools including skills assessments and psychometric testsextend offers negotiate and close candidates for positions across the regionassist managers with resource planning job description development and interview approachpost jobs and manage applicant flow across a number of concurrent recruiting prioritiesmaintain accurate records within our icims applicant tracking systemmeet or exceed corporate kpis for recruiting including time to hire cost per hire and quality of hirechallenge the team contribute to the development of our processes and our people help us to grow to improve upon and to expand our systems and our positive impact on our organizationsupport recruitment colleagues collaborate share back up and communicate with teammates on a continual basisbuild relationships and trust with hiring managers so that you may add value to the hiring process beyond the typical âœrecruiting flowâ be a business partner a strategic partner to hiring teams help them explore ideas and consider alternate perspectives when helpfulabout exproexpro provides services and products that measure we improve control and process flow from highvalue oil and gas wells from exploration and appraisal through to mature field production optimisation and enhancementwith a specific focus on offshore deepwater and other technically challenging environments we provide a range of mission critical services across three key areaswell test amp appraisal servicessubsea completion amp intervention servicesproduction servicesour vision is to be the market leader in well flow management using the industryâs best people to deliver the highest standards of safety quality and personalised customer servicewe provide a range of solutions includingexploration amp appraisal testingsubsea safety systemsdrilling amp completionflowback amp cleanupproductionwell integrity amp interventionexproâs 40 years of experience and innovation empowers the company to offer tailormade solutions for customers across the energy sector with over 5400 employees in over 50 countries expro offers a truly global service solution,1
